Rank,Date,Movie,URL,Gross
78,"Oct 15, 2010",Red,/movie/Red-(2010)#tab=summary,"$21,761,408"
79,"Oct 12, 2007",Why Did I Get Married?,/movie/Why-Did-I-Get-Married-(2007)#tab=summary,"$21,353,789"
80,"Oct 4, 2002",Sweet Home Alabama,/movie/Sweet-Home-Alabama#tab=summary,"$21,325,435"
81,"Oct 22, 2010",Jackass 3D,/movie/Jackass-3D#tab=summary,"$21,313,815"
82,"Oct 16, 2015",The Martian,/movie/Martian-The#tab=summary,"$21,300,120"
83,"Oct 20, 2017",Tyler Perry’s Boo 2! A Madea Halloween,/movie/Tyler-Perrys-Boo-2-A-Madea-Halloween#tab=summary,"$21,226,953"
84,"Oct 13, 2000",Meet the Parents,/movie/Meet-the-Parents#tab=summary,"$21,168,385"
85,"Oct 23, 2009",Paranormal Activity,/movie/Paranormal-Activity#tab=summary,"$21,104,070"
86,"Oct 16, 2009",Law Abiding Citizen,/movie/Law-Abiding-Citizen#tab=summary,"$21,039,502"
87,"Oct 4, 2013",Cloudy with a Chance of Meatballs 2,/movie/Cloudy-with-a-Chance-of-Meatballs-2#tab=summary,"$20,950,192"
88,"Oct 13, 2006",The Grudge 2,/movie/Grudge-2-The#tab=summary,"$20,825,300"
89,"Oct 11, 2019",Gemini Man,/movie/Gemini-Man-(2019)#tab=summary,"$20,552,372"
90,"Oct 9, 2015",Hotel Transylvania 2,/movie/Hotel-Transylvania-2#tab=summary,"$20,420,392"
91,"Oct 8, 2004",Friday Night Lights,/movie/Friday-Night-Lights#tab=summary,"$20,269,025"
92,"Oct 25, 2013",Gravity,/movie/Gravity#tab=summary,"$20,135,387"
93,"Oct 29, 2004",Ray,/movie/Ray-(2004)#tab=summary,"$20,039,730"
94,"Oct 31, 2003",Scary Movie 3,/movie/Scary-Movie-3#tab=summary,"$20,017,468"
95,"Oct 24, 2014",Ouija,/movie/Ouija-(2014)#tab=summary,"$19,875,995"
96,"Oct 3, 2003",School of Rock,/movie/School-of-Rock#tab=summary,"$19,622,714"
97,"Oct 16, 2009",Paranormal Activity,/movie/Paranormal-Activity#tab=summary,"$19,617,650"
98,"Oct 12, 2012",Argo,/movie/Argo#tab=summary,"$19,458,109"
99,"Oct 31, 2003",Brother Bear,/movie/Brother-Bear#tab=summary,"$19,404,492"
100,"Oct 25, 2019",Maleficent: Mistress of Evil,/movie/Maleficent-Mistress-of-Evil-(2019)#tab=summary,"$19,369,877"
