Timestamp,Market,Taker,Maker,Type,Outcome,Direction,Amount,Shares,Price,,
"13/09/2023, 11:07:26",Will ‘Taylor Swift: Eras Tour’ have a bigger opening weekend than 'Barbie'?,0x9a3c217f,0x6af75d4e,Sell,Yes,❌,$103.80,207.6,0.5,📖,Tx
"13/09/2023, 11:06:26",Will Sweden join NATO by October 31?,0x9a3c217f,0x22dbd51e,Sell,Yes,❌,$97.50,150,0.65,📖,Tx
"13/09/2023, 11:06:26",Will Sweden join NATO by October 31?,0x9a3c217f,0x5bbdda8c,Sell,Yes,❌,$6.00,10,0.6,📖,Tx
"13/09/2023, 11:06:26",Will Sweden join NATO by October 31?,0x4bfb41d5,0x9a3c217f,Buy,Yes,✅,$103.50,160,0.6469,📖,Tx
"13/09/2023, 11:05:44",Will ‘Taylor Swift: Eras Tour’ have a bigger opening weekend than 'Barbie'?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$184.31,368.62,0.5,📖,Tx
"13/09/2023, 11:05:44",Will ‘Taylor Swift: Eras Tour’ have a bigger opening weekend than 'Barbie'?,0x9a3c217f,0x6af75d4e,Sell,Yes,❌,$184.31,368.62,0.5,📖,Tx
"13/09/2023, 11:05:08",Instacart market cap >20b?,0x9a3c217f,0xaaf4acaf,Sell,No,✅,$157.00,172.53,0.91,📖,Tx
"13/09/2023, 11:05:08",Instacart market cap >20b?,0x9a3c217f,0x21fd35e1,Sell,No,✅,$27.60,30,0.92,📖,Tx
"13/09/2023, 11:05:08",Instacart market cap >20b?,0x4bfb41d5,0x9a3c217f,Buy,No,❌,$184.60,202.53,0.9115,📖,Tx
"12/09/2023, 22:10:41",Instacart market cap >20b?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$194.43,202.53,0.96,📖,Tx
"12/09/2023, 22:10:41",Instacart market cap >20b?,0x9a3c217f,0x9d84ce03,Sell,Yes,❌,$8.10,202.53,0.04,📖,Tx
"12/09/2023, 20:24:58",Argentina Presidential Election: Will Javier Milei win?,0x9a3c217f,0x6d6d99cc,Sell,Yes,❌,$0.15,0.22,0.7,📖,Tx
"12/09/2023, 20:24:58",Argentina Presidential Election: Will Javier Milei win?,0x9a3c217f,0xbdd11cc9,Sell,Yes,❌,$5.17,7.61,0.68,📖,Tx
"12/09/2023, 20:24:58",Argentina Presidential Election: Will Javier Milei win?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$2.50,7.83,0.3194,📖,Tx
"12/09/2023, 20:14:16",Argentina Presidential Election: Will Patricia Bullrich win?,0x9a3c217f,0xd3b25f3c,Sell,No,✅,$110.76,142,0.78,📖,Tx
"12/09/2023, 20:14:16",Argentina Presidential Election: Will Patricia Bullrich win?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$31.24,142,0.22,📖,Tx
"12/09/2023, 20:10:18",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3ee2bbb9,Buy,Yes,✅,$2.23,222.58,0.01,📖,Tx
"12/09/2023, 20:10:18",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Buy,No,❌,$220.35,222.58,0.99,📖,Tx
"12/09/2023, 18:21:39",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3ee2bbb9,Sell,Yes,❌,$0.26,52.63,0.005,📖,Tx
"12/09/2023, 18:21:39",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$52.37,52.63,0.995,📖,Tx
"12/09/2023, 18:20:53",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Buy,Yes,✅,$0.60,120,0.005,📖,Tx
"12/09/2023, 18:20:53",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3ee2bbb9,Sell,Yes,❌,$0.60,120,0.005,📖,Tx
"12/09/2023, 18:16:25",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3ee2bbb9,Sell,Yes,❌,$0.50,100,0.005,📖,Tx
"12/09/2023, 18:16:25",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$99.50,100,0.995,📖,Tx
"12/09/2023, 18:15:59",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3922df6b,Sell,Yes,❌,$0.35,50,0.007,📖,Tx
"12/09/2023, 18:15:59",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$49.65,50,0.993,📖,Tx
"12/09/2023, 18:15:33",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3922df6b,Sell,Yes,❌,$0.18,19.95,0.009,📖,Tx
"12/09/2023, 18:15:33",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$19.77,19.95,0.991,📖,Tx
"12/09/2023, 18:15:13",Is Vivek Ramaswamy GCR?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$1.20,120,0.01,📖,Tx
"12/09/2023, 18:15:13",Is Vivek Ramaswamy GCR?,0x9a3c217f,0x3ee2bbb9,Buy,Yes,✅,$1.20,120,0.01,📖,Tx
"11/09/2023, 13:27:11",Will Drake's album drop on 9/22?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$232.50,250,0.93,📖,Tx
"11/09/2023, 13:27:11",Will Drake's album drop on 9/22?,0x9a3c217f,0xe179320f,Sell,No,✅,$17.50,250,0.07,📖,Tx
"11/09/2023, 10:54:17",Will Sweden join NATO by October 31?,0x9a3c217f,0x24c8cf69,Sell,No,✅,$15.00,50,0.3,📖,Tx
"11/09/2023, 10:54:17",Will Sweden join NATO by October 31?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$35.00,50,0.7,📖,Tx
"11/09/2023, 2:05:03",Argentina Presidential Election: Will Javier Milei win?,0x9a3c217f,0xffe4af6e,Sell,No,✅,$22.80,78.62,0.29,📖,Tx
"11/09/2023, 2:05:03",Argentina Presidential Election: Will Javier Milei win?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$167.87,232,0.7236,📖,Tx
"11/09/2023, 2:05:03",Argentina Presidential Election: Will Javier Milei win?,0x9a3c217f,0xd3b25f3c,Sell,No,✅,$20.33,72.61,0.28,📖,Tx
"11/09/2023, 2:05:03",Argentina Presidential Election: Will Javier Milei win?,0x9a3c217f,0xbdd11cc9,Buy,Yes,✅,$59.77,80.77,0.74,📖,Tx
"11/09/2023, 1:48:56",Will DOJ charge Binance by Sep 30?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$68.73,79,0.87,📖,Tx
"11/09/2023, 1:48:56",Will DOJ charge Binance by Sep 30?,0x9a3c217f,0x21589505,Sell,Yes,❌,$10.27,79,0.13,📖,Tx
